,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60
440,000001.SZ,20181025,10.6874,11.1723,10.5984,11.1723,10.9249,0.24740000000000073,2.2646,1685011.36,1855823.739,10.9012,1969238.472,10.4672,1497922.123,9.8009,1095805.6753
441,000001.SZ,20181026,11.1723,11.1921,10.8458,11.0635,11.1723,-0.10880000000000045,-0.9738,1299975.1,1448843.512,10.9843,1812500.028,10.5142,1531903.46,9.8328,1103582.6245
442,000001.SZ,20181029,11.0832,11.1228,10.5093,10.6379,11.0635,-0.4255999999999993,-3.8469,1591628.78,1725932.497,10.9051,1601717.16,10.5182,1530258.9785,9.8575,1121524.337
443,000001.SZ,20181030,10.6676,10.9645,10.6181,10.7864,10.6379,0.1485000000000003,1.396,1501827.86,1641371.787,10.917,1581573.548,10.5355,1556499.6365,9.8824,1134781.7018
444,000001.SZ,20181031,10.8359,10.8754,10.6379,10.7963,10.7864,0.00990000000000002,0.0918,1152683.79,1252156.775,10.8913,1446225.378,10.5454,1539608.1545,9.907,1141990.585
445,000001.SZ,20181101,10.8754,10.9348,10.6478,10.7171,10.7963,-0.07920000000000016,-0.7336,1542776.32,1679443.449,10.8002,1417778.37,10.5499,1572728.804,9.9347,1154135.4957
446,000001.SZ,20181102,10.9249,11.0437,10.7171,10.9744,10.7171,0.257299999999999,2.4008,2212922.87,2439179.135,10.7824,1600367.924,10.5518,1577862.814,9.9701,1175494.1888
447,000001.SZ,20181105,10.8359,10.9249,10.7072,10.8062,10.9744,-0.1681999999999988,-1.5327,1291924.17,1409457.171,10.8161,1540427.002,10.5751,1558141.0965,10.0033,1189083.8147
448,000001.SZ,20181106,10.7567,10.8161,10.6181,10.727,10.8062,-0.07920000000000016,-0.7329,735725.74,795322.638,10.8042,1387206.578,10.589,1541723.1705,10.0346,1192112.409
449,000001.SZ,20181107,10.7171,10.8359,10.6379,10.6973,10.727,-0.02970000000000006,-0.2769,785597.41,851487.053,10.7844,1313789.302,10.6068,1531243.037,10.0617,1193698.646
450,000001.SZ,20181108,10.7666,10.8556,10.7072,10.7765,10.6973,0.07920000000000016,0.7404,793976.0,864744.243,10.7963,1164029.238,10.6577,1471184.6455,10.092,1197282.36
451,000001.SZ,20181109,10.5984,10.6181,10.2916,10.44,10.7765,-0.3365000000000009,-3.1225,1629269.17,1716198.382,10.6894,1047298.498,10.6701,1476807.59,10.1128,1210990.45
452,000001.SZ,20181112,10.351,10.4697,10.2718,10.4499,10.44,0.00990000000000002,0.0948,920333.88,965756.504,10.6181,972980.44,10.6924,1452690.019,10.1347,1219259.8753
453,000001.SZ,20181113,10.3015,10.539,10.2718,10.4301,10.4499,-0.01980000000000004,-0.1895,1072497.62,1126736.143,10.5588,1040334.816,10.7008,1436468.8475,10.1593,1223493.317
454,000001.SZ,20181114,10.4202,10.44,10.3114,10.3312,10.4301,-0.09889999999999866,-0.9482,774239.85,810357.748,10.4855,1038063.304,10.7062,1407636.3485,10.1831,1229226.6418
455,000001.SZ,20181115,10.3312,10.5291,10.3114,10.5093,10.3312,0.17809999999999881,1.7239,901461.98,949991.801,10.4321,1059560.5,10.7324,1402651.645,10.2132,1233076.9607
456,000001.SZ,20181116,10.4994,10.6083,10.3807,10.4598,10.5093,-0.0495000000000001,-0.471,1059592.59,1123173.219,10.4361,945625.184,10.723,1351447.9085,10.2428,1240098.9613
457,000001.SZ,20181119,10.4598,10.7666,10.4598,10.7369,10.4598,0.2771000000000008,2.6492,1360887.09,1466899.416,10.4935,1033735.826,10.7082,1287215.107,10.2764,1251955.8035
458,000001.SZ,20181120,10.6379,10.6874,10.4103,10.4598,10.7369,-0.2771000000000008,-2.5808,1033877.53,1099654.683,10.4994,1026011.808,10.6948,1258781.6875,10.3023,1257831.728
459,000001.SZ,20181121,10.3905,10.5588,10.3708,10.4994,10.4598,0.03960000000000008,0.3786,666157.33,705638.355,10.533,1004395.304,10.6736,1200618.322,10.3251,1247859.7757
460,000001.SZ,20181122,10.5588,10.5588,10.3708,10.44,10.4994,-0.05940000000000012,-0.5657,500267.85,527103.281,10.5192,924156.478,10.6369,1141381.1465,10.3458,1239823.6735
461,000001.SZ,20181123,10.4202,10.4697,10.2025,10.2124,10.44,-0.22759999999999891,-2.1801,700358.15,730667.665,10.4697,852309.59,10.5944,1111400.299,10.3617,1239345.0657
462,000001.SZ,20181126,10.2322,10.351,10.1926,10.2322,10.2124,0.01980000000000004,0.1939,516569.11,535963.342,10.3688,683445.994,10.5741,1057647.3155,10.3668,1197281.0777
463,000001.SZ,20181127,10.2421,10.2817,10.0541,10.0739,10.2322,-0.15830000000000055,-1.5471,733448.38,752824.12,10.2916,623360.164,10.5385,1019228.3415,10.3627,1172531.4803
464,000001.SZ,20181128,10.064,10.2025,10.0541,10.1728,10.0739,0.09890000000000043,0.9817,537751.45,550820.246,10.2263,597678.988,10.5073,988481.7245,10.3625,1159997.7172
465,000001.SZ,20181129,10.2421,10.2817,10.0838,10.0937,10.1728,-0.07910000000000039,-0.7776,485284.05,499068.827,10.157,594682.228,10.4761,935607.111,10.3614,1153054.3932
466,000001.SZ,20181130,10.1135,10.252,10.064,10.252,10.0937,0.15830000000000055,1.5683,594715.32,610571.532,10.1649,573553.662,10.44,854696.7335,10.3653,1146384.353
467,000001.SZ,20181203,10.4796,10.5489,10.3609,10.4796,10.252,0.22759999999999891,2.2201,1064097.17,1126374.829,10.2144,683059.274,10.4237,843305.3835,10.3729,1142271.5518
